ticket_id,unit_id,property_id,category,priority,open_date,close_date,cost,status
M00075,U00140,P001,Electrical,Medium,2024-08-13,2024-09-26,2056.48,Closed
M00076,U00144,P001,Appliance,Low,2024-01-11,2024-02-25,1354.19,Closed
M00077,U00176,P001,Plumbing,Medium,2025-07-22,,0.0,Open
M00078,U00097,P001,Flooring,Low,2025-04-23,2025-05-07,1403.91,Closed
M00079,U00277,P001,Plumbing,Emergency,2024-08-17,2024-09-14,1306.83,Closed
M00080,U00052,P001,Flooring,Medium,2026-03-14,,0.0,Open
M00081,U00134,P001,Electrical,Medium,2024-05-05,2024-05-10,689.54,Closed
M00082,U00268,P001,HVAC,Medium,2024-10-10,2024-10-14,2253.53,Closed
M00083,U00057,P001,HVAC,High,2024-05-12,2024-06-06,77.97,Closed
M00084,U00001,P001,Flooring,High,2025-08-17,,0.0,Open
M00085,U00240,P001,Electrical,Low,2023-06-22,,0.0,Open
M00086,U00248,P001,Electrical,Low,2024-09-28,2024-10-23,403.73,Closed
M00087,U00192,P001,Plumbing,High,2025-10-10,2025-11-24,2103.93,Closed
M00088,U00214,P001,HVAC,Low,2026-03-18,2026-04-06,1386.72,Closed
M00089,U00265,P001,Electrical,Emergency,2023-09-10,2023-09-17,1277.46,Closed
M00090,U00114,P001,Plumbing,Medium,2024-04-27,2024-05-17,1653.14,Closed
M00091,U00206,P001,Appliance,Emergency,2025-10-27,2025-11-03,1492.61,Closed
M00092,U00043,P001,Electrical,Low,2025-03-23,2025-05-06,1894.19,Closed
M00093,U00011,P001,Electrical,Medium,2023-08-07,,0.0,Open
M00094,U00250,P001,General,Low,2024-09-12,2024-10-04,2045.16,Closed
M00095,U00059,P001,General,Emergency,2025-12-09,2025-12-17,1403.16,Closed
M00096,U00192,P001,Flooring,Emergency,2023-12-22,2024-01-26,398.39,Closed
M00097,U00201,P001,Electrical,Low,2026-01-02,2026-01-10,2403.78,Closed
M00098,U00127,P001,Plumbing,Emergency,2024-10-22,2024-11-17,1835.13,Closed
M00099,U00175,P001,HVAC,High,2023-06-08,2023-06-16,1087.44,Closed
M00100,U00013,P001,Flooring,Emergency,2025-12-19,2026-01-06,1310.28,Closed
M00101,U00073,P001,Pest Control,Emergency,2024-09-17,2024-10-11,1385.83,Closed
M00102,U00258,P001,Pest Control,Medium,2024-06-28,2024-08-07,1615.01,Closed
M00103,U00003,P001,Electrical,Medium,2025-12-05,2025-12-26,2135.64,Closed
M00104,U00246,P001,Appliance,Medium,2024-11-01,2024-11-15,1940.15,Closed
M00105,U00177,P001,Plumbing,Low,2024-04-29,2024-05-19,165.36,Closed
M00106,U00046,P001,HVAC,Emergency,2024-10-13,2024-11-19,859.53,Closed
M00107,U00263,P001,General,Emergency,2026-02-12,2026-02-13,2332.74,Closed
M00108,U00174,P001,Pest Control,Emergency,2025-12-16,2026-01-17,249.54,Closed
M00109,U00249,P001,General,Low,2024-06-28,2024-07-25,1275.78,Closed
M00110,U00030,P001,Flooring,Medium,2023-10-29,2023-12-13,985.87,Closed
M00111,U00169,P001,Plumbing,High,2024-10-31,2024-11-15,1913.88,Closed
M00112,U00165,P001,HVAC,Medium,2025-12-04,2025-12-21,332.49,Closed
M00113,U00233,P001,Pest Control,High,2025-12-23,2026-02-04,1117.18,Closed
M00114,U00032,P001,Plumbing,High,2024-12-25,2025-01-15,2357.27,Closed
M00115,U00233,P001,General,Medium,2023-11-11,2023-12-12,1912.75,Closed
M00116,U00023,P001,HVAC,Medium,2024-05-28,2024-06-24,1883.62,Closed
M00117,U00232,P001,Appliance,High,2024-11-22,,0.0,Open
M00118,U00175,P001,Plumbing,Low,2025-02-08,2025-03-15,2154.02,Closed
M00119,U00156,P001,General,High,2024-08-18,,0.0,Open
M00120,U00278,P001,Plumbing,Medium,2025-08-01,2025-08-23,2120.56,Closed
M00121,U00084,P001,Electrical,Low,2025-12-18,2026-01-25,2232.95,Closed
M00122,U00185,P001,Pest Control,Emergency,2025-02-02,,0.0,Open
M00123,U00212,P001,Pest Control,Low,2024-01-02,2024-02-02,2385.74,Closed
M00124,U00243,P001,Electrical,Medium,2025-12-07,2026-01-20,1870.79,Closed
M00125,U00215,P001,Appliance,High,2024-04-02,2024-05-02,421.67,Closed
M00126,U00199,P001,General,Emergency,2024-08-04,2024-08-26,707.49,Closed
M00127,U00013,P001,Pest Control,Medium,2023-06-22,2023-07-09,2393.76,Closed
M00128,U00195,P001,Flooring,Medium,2025-10-01,2025-10-29,978.44,Closed
M00129,U00094,P001,Pest Control,High,2023-10-17,2023-10-26,2332.15,Closed
M00130,U00281,P001,Electrical,Low,2025-11-23,,0.0,Open
M00131,U00234,P001,Electrical,Emergency,2025-07-07,2025-08-18,552.55,Closed
M00132,U00209,P001,HVAC,High,2024-08-30,2024-10-07,500.16,Closed
M00133,U00228,P001,Plumbing,Low,2023-09-21,,0.0,Open
M00134,U00123,P001,Appliance,Low,2024-02-22,2024-03-20,472.36,Closed
M00135,U00017,P001,Electrical,Emergency,2024-05-09,2024-05-20,617.98,Closed
M00136,U00124,P001,Plumbing,Medium,2024-08-15,2024-08-30,667.97,Closed
M00137,U00195,P001,Plumbing,High,2023-07-27,,0.0,Open
M00138,U00194,P001,Flooring,Medium,2024-09-07,2024-09-08,1027.13,Closed
M00139,U00177,P001,General,Medium,2024-06-25,2024-07-30,2205.89,Closed
M00140,U00166,P001,Pest Control,Medium,2025-02-15,2025-03-20,891.9,Closed
M00141,U00247,P001,General,Low,2023-08-07,,0.0,Open
M00142,U00136,P001,Appliance,Emergency,2025-04-19,2025-05-20,1960.69,Closed
M00143,U00175,P001,HVAC,Low,2024-01-25,,0.0,Open
M00144,U00267,P001,Pest Control,Low,2024-11-06,2024-11-29,2409.56,Closed
M00145,U00074,P001,Flooring,Low,2025-03-25,2025-04-23,1054.98,Closed
M00146,U00155,P001,HVAC,Medium,2025-04-13,,0.0,Open
M00147,U00246,P001,Flooring,High,2025-12-01,2025-12-03,1712.9,Closed
M00148,U00022,P001,HVAC,Emergency,2024-02-22,2024-03-09,2224.9,Closed
M00149,U00247,P001,Plumbing,Low,2025-03-29,2025-04-25,2310.13,Closed
M00150,U00068,P001,Flooring,High,2026-02-16,2026-03-22,1267.8,Closed
M00151,U00040,P001,Appliance,Medium,2025-02-24,2025-03-23,475.52,Closed
M00152,U00058,P001,Electrical,Emergency,2025-08-12,2025-08-20,1096.42,Closed
M00153,U00121,P001,HVAC,Medium,2026-04-03,2026-04-04,97.5,Closed
M00154,U00041,P001,General,Low,2024-06-01,2024-06-21,879.26,Closed
M00155,U00041,P001,HVAC,Low,2024-03-28,2024-05-09,1892.75,Closed
M00156,U00043,P001,General,High,2025-06-09,2025-06-27,213.72,Closed
M00157,U00142,P001,Flooring,High,2024-03-08,2024-04-22,216.97,Closed
M00158,U00138,P001,Electrical,High,2024-02-25,,0.0,Open
M00159,U00164,P001,General,Low,2023-12-18,2024-01-13,1718.32,Closed
M00160,U00230,P001,Appliance,Medium,2024-05-15,,0.0,Open
M00161,U00118,P001,Pest Control,High,2023-09-22,2023-10-14,766.27,Closed
M00162,U00278,P001,Pest Control,Medium,2024-07-18,2024-08-11,1293.84,Closed
M00163,U00253,P001,HVAC,Medium,2024-08-16,2024-09-27,75.64,Closed
M00164,U00026,P001,Pest Control,Low,2024-11-13,2024-12-22,426.15,Closed
M00165,U00069,P001,Electrical,High,2023-11-02,2023-12-15,1352.24,Closed
M00166,U00257,P001,General,Low,2025-12-29,2026-01-22,158.5,Closed
M00167,U00055,P001,Flooring,High,2026-03-13,2026-04-13,1689.81,Closed
M00168,U00015,P001,Flooring,Medium,2025-05-18,2025-05-27,163.24,Closed
M00169,U00080,P001,Flooring,Medium,2024-02-14,2024-02-24,2425.35,Closed
M00170,U00231,P001,Pest Control,Low,2024-12-02,2024-12-15,1897.18,Closed
M00171,U00175,P001,Flooring,Medium,2023-12-29,2024-02-08,2275.96,Closed
M00172,U00166,P001,Pest Control,Low,2023-11-06,2023-11-20,2015.08,Closed
M00173,U00228,P001,Plumbing,Medium,2024-05-03,,0.0,Open
M00174,U00239,P001,Appliance,High,2025-02-09,2025-02-17,2487.55,Closed
M00175,U00159,P001,HVAC,Medium,2026-01-13,,0.0,Open
M00176,U00211,P001,HVAC,High,2024-02-22,2024-02-28,1316.97,Closed
M00177,U00280,P001,HVAC,Low,2024-05-30,2024-07-06,2383.55,Closed
M00178,U00241,P001,General,High,2024-09-25,2024-11-06,1113.9,Closed
M00179,U00237,P001,Electrical,Medium,2024-11-10,2024-12-21,799.01,Closed
M00180,U00176,P001,Pest Control,Medium,2026-01-03,2026-01-14,1528.82,Closed
M00181,U00193,P001,Appliance,High,2024-01-12,2024-02-07,1894.07,Closed
M00182,U00158,P001,HVAC,Emergency,2023-08-28,,0.0,Open
M00183,U00025,P001,Pest Control,Medium,2024-12-05,,0.0,Open
M00184,U00010,P001,General,Medium,2024-02-12,2024-03-21,2167.15,Closed
M00185,U00026,P001,General,Low,2023-09-11,2023-09-12,1523.45,Closed
M00186,U00215,P001,General,Medium,2026-02-14,2026-03-13,362.24,Closed
M00187,U00086,P001,Electrical,High,2024-03-10,2024-03-27,1505.05,Closed
M00188,U00017,P001,HVAC,High,2024-09-15,2024-09-21,1808.69,Closed
M00189,U00138,P001,Pest Control,Low,2023-12-23,2024-01-02,1193.56,Closed
M00190,U00056,P001,General,Low,2025-12-29,2026-01-10,1020.2,Closed
M00191,U00034,P001,Appliance,High,2025-04-03,2025-04-04,2203.06,Closed
M00192,U00034,P001,Flooring,Medium,2024-02-13,,0.0,Open
M00193,U00115,P001,HVAC,Medium,2024-12-10,2024-12-30,450.78,Closed
M00194,U00276,P001,General,Medium,2025-03-23,2025-05-06,1067.82,Closed
M00195,U00247,P001,Pest Control,High,2023-11-16,,0.0,Open
M00196,U00128,P001,Pest Control,Emergency,2023-07-11,,0.0,Open
M00197,U00086,P001,Electrical,Medium,2025-02-06,2025-02-22,1036.58,Closed
M00198,U00006,P001,Plumbing,Medium,2024-03-20,2024-03-22,1457.89,Closed
M00199,U00029,P001,Electrical,Medium,2025-12-15,2026-01-26,813.82,Closed
M00200,U00075,P001,Electrical,Emergency,2026-02-26,2026-03-19,829.34,Closed
M00201,U00027,P001,General,Medium,2024-05-26,2024-06-03,1031.35,Closed
M00202,U00253,P001,Flooring,Medium,2023-10-04,2023-11-02,2378.39,Closed
M00203,U00138,P001,Flooring,Medium,2024-07-07,2024-07-22,1725.58,Closed
M00204,U00205,P001,Flooring,Low,2024-12-19,2025-01-02,1861.39,Closed
M00205,U00094,P001,Pest Control,Medium,2024-05-23,2024-06-28,1750.09,Closed
M00206,U00172,P001,Electrical,Medium,2024-10-21,,0.0,Open
M00207,U00262,P001,Plumbing,Medium,2024-10-17,2024-11-17,619.49,Closed
M00208,U00175,P001,HVAC,Medium,2023-09-12,2023-09-27,1086.6,Closed
M00209,U00052,P001,Pest Control,Medium,2024-04-08,2024-05-09,2336.84,Closed
M00210,U00012,P001,General,Emergency,2025-07-06,2025-08-05,435.34,Closed
M00211,U00124,P001,HVAC,Medium,2023-08-31,2023-09-05,1029.41,Closed
M00212,U00065,P001,HVAC,Medium,2025-03-30,2025-04-01,1244.31,Closed
M00213,U00046,P001,Appliance,Medium,2025-03-26,2025-04-27,182.64,Closed
M00214,U00137,P001,General,Low,2024-12-11,2025-01-22,2053.66,Closed
M00215,U00154,P001,Appliance,High,2025-02-15,2025-03-25,1570.59,Closed
M00216,U00191,P001,Pest Control,Medium,2023-11-27,2023-12-12,1301.19,Closed
M00217,U00019,P001,Electrical,Emergency,2023-11-02,2023-11-18,2064.62,Closed
M00218,U00177,P001,Plumbing,Medium,2024-08-31,2024-09-20,1547.54,Closed
M00219,U00131,P001,Pest Control,Low,2026-01-19,2026-03-05,1268.17,Closed
M00220,U00161,P001,Appliance,High,2024-02-04,,0.0,Open
M00221,U00201,P001,Electrical,Medium,2024-05-21,,0.0,Open
M00222,U00068,P001,Appliance,High,2024-10-16,2024-11-13,344.8,Closed
M00223,U00211,P001,HVAC,Low,2025-06-16,,0.0,Open
M00224,U00222,P001,HVAC,Medium,2024-02-25,2024-02-26,1172.59,Closed
M00225,U00038,P001,Appliance,Low,2025-01-13,2025-02-03,1537.43,Closed
M00226,U00198,P001,Flooring,Medium,2025-10-08,2025-11-07,2199.3,Closed
M00227,U00157,P001,HVAC,Medium,2025-10-13,2025-11-15,152.98,Closed
M00228,U00020,P001,Plumbing,Low,2023-11-09,,0.0,Open
M00229,U00214,P001,General,Low,2023-09-11,2023-10-20,414.56,Closed
M00230,U00263,P001,Flooring,Emergency,2023-12-19,2024-01-02,143.75,Closed
M00231,U00201,P001,General,Low,2025-07-30,,0.0,Open
M00232,U00268,P001,Plumbing,High,2026-04-06,2026-05-11,1847.95,Closed
M00233,U00046,P001,Flooring,Medium,2025-10-09,,0.0,Open
M00234,U00024,P001,Appliance,Low,2025-07-21,2025-08-16,1908.93,Closed
M00235,U00275,P001,Pest Control,Medium,2025-07-18,2025-08-21,133.97,Closed
M00236,U00246,P001,HVAC,High,2024-04-16,,0.0,Open
M00237,U00284,P001,Plumbing,Medium,2025-12-03,2025-12-16,1172.35,Closed
M00238,U00181,P001,Electrical,Medium,2023-07-07,2023-07-22,1831.52,Closed
M00239,U00015,P001,Flooring,Medium,2023-09-10,2023-10-19,1136.44,Closed
M00240,U00267,P001,Pest Control,Emergency,2025-06-30,2025-07-17,899.36,Closed
M00241,U00146,P001,Flooring,Emergency,2024-07-23,2024-07-29,687.52,Closed
M00242,U00247,P001,Appliance,Emergency,2023-08-12,,0.0,Open
M00243,U00195,P001,Flooring,Emergency,2025-10-03,2025-10-08,2177.57,Closed
M00244,U00173,P001,Pest Control,High,2023-12-24,2024-01-13,918.09,Closed
M00245,U00024,P001,Appliance,Emergency,2025-06-18,,0.0,Open
M00246,U00107,P001,Appliance,Medium,2023-12-01,2024-01-11,1656.76,Closed
M00247,U00108,P001,Flooring,Medium,2023-07-04,2023-07-13,906.25,Closed
M00248,U00178,P001,Electrical,Medium,2024-08-12,2024-09-12,1773.59,Closed
M00249,U00247,P001,Pest Control,Medium,2023-07-08,2023-07-15,977.39,Closed
M00250,U00247,P001,Plumbing,Emergency,2024-04-25,,0.0,Open
M00251,U00056,P001,Appliance,Medium,2026-02-09,2026-02-10,2137.68,Closed
M00252,U00074,P001,Appliance,Low,2024-03-10,,0.0,Open
M00253,U00149,P001,Appliance,Medium,2023-07-19,2023-08-10,774.68,Closed
M00254,U00017,P001,Flooring,Low,2024-08-01,2024-09-02,1033.58,Closed
M00255,U00235,P001,HVAC,Emergency,2026-02-04,2026-03-01,288.62,Closed
M00256,U00110,P001,Plumbing,Medium,2024-12-29,2025-01-13,1942.5,Closed
M00257,U00031,P001,Plumbing,Low,2023-11-10,2023-12-01,435.6,Closed
M00258,U00158,P001,Flooring,Medium,2023-07-07,2023-07-25,310.57,Closed
M00259,U00212,P001,Appliance,Medium,2025-09-24,2025-10-04,1304.36,Closed
M00260,U00255,P001,General,Medium,2025-06-05,2025-07-14,2006.2,Closed
M00261,U00081,P001,HVAC,Medium,2024-04-13,2024-05-04,1598.0,Closed
M00262,U00029,P001,Plumbing,Medium,2024-02-16,2024-02-25,599.91,Closed
M00263,U00147,P001,Plumbing,Medium,2025-07-22,2025-08-20,2140.13,Closed
M00264,U00053,P001,HVAC,Medium,2023-11-09,2023-12-13,1431.46,Closed
M00265,U00023,P001,Pest Control,Medium,2023-12-27,,0.0,Open
M00266,U00085,P001,Pest Control,Emergency,2023-06-25,2023-07-22,1036.24,Closed
M00267,U00023,P001,General,Emergency,2024-01-22,,0.0,Open
M00268,U00112,P001,Flooring,Medium,2026-02-24,2026-03-15,1939.74,Closed
M00269,U00249,P001,General,Emergency,2023-08-08,2023-09-02,2009.16,Closed
M00270,U00214,P001,Plumbing,Medium,2024-03-14,2024-04-23,841.25,Closed
M00271,U00283,P001,Pest Control,Medium,2025-02-10,2025-02-11,404.63,Closed
M00272,U00133,P001,General,Emergency,2024-04-01,2024-05-06,2099.16,Closed
M00273,U00098,P001,General,Low,2024-10-13,,0.0,Open
M00274,U00121,P001,Electrical,Low,2025-02-04,2025-02-19,2360.4,Closed
M00275,U00057,P001,Flooring,Low,2024-04-08,2024-05-03,1596.68,Closed
M00276,U00063,P001,Appliance,Low,2024-10-22,2024-11-18,65.68,Closed
M00277,U00044,P001,Plumbing,Medium,2025-12-17,,0.0,Open
M00278,U00048,P001,Pest Control,Emergency,2024-02-10,,0.0,Open
M00279,U00065,P001,General,Medium,2025-07-14,,0.0,Open
M00280,U00074,P001,Appliance,High,2025-09-16,2025-10-29,1953.8,Closed
M00281,U00149,P001,Plumbing,Low,2024-08-25,2024-09-12,278.43,Closed
M00282,U00036,P001,Flooring,Low,2024-01-14,,0.0,Open
M00283,U00054,P001,Appliance,Low,2025-05-01,,0.0,Open
M00284,U00119,P001,HVAC,Medium,2024-01-24,2024-03-02,1687.87,Closed
M00285,U00159,P001,Appliance,High,2023-08-18,2023-09-14,53.34,Closed
M00286,U00141,P001,Pest Control,Low,2025-07-31,2025-08-19,1668.43,Closed
M00287,U00258,P001,Electrical,Emergency,2024-08-09,2024-08-22,306.19,Closed
M00288,U00182,P001,Pest Control,High,2024-12-08,2024-12-17,2368.6,Closed
M00289,U00079,P001,Electrical,Medium,2026-01-23,2026-01-27,1164.74,Closed
M00290,U00138,P001,Plumbing,Medium,2024-08-13,,0.0,Open
M00291,U00231,P001,Appliance,Medium,2025-12-08,2025-12-23,654.98,Closed
M00292,U00055,P001,General,Medium,2025-08-14,2025-09-23,757.88,Closed
M00293,U00096,P001,Pest Control,High,2025-02-05,2025-03-02,91.46,Closed
M00294,U00086,P001,Electrical,High,2025-05-19,2025-05-24,1771.92,Closed
M00295,U00024,P001,Appliance,High,2025-08-21,2025-10-04,2099.46,Closed
M00296,U00042,P001,Plumbing,Emergency,2025-09-09,2025-09-28,1047.16,Closed
M00297,U00049,P001,HVAC,Medium,2024-09-05,2024-09-30,2331.0,Closed
M00298,U00011,P001,Plumbing,Medium,2025-11-19,2025-12-23,1030.01,Closed
M00299,U00154,P001,Flooring,High,2024-12-08,2025-01-11,219.87,Closed
M00300,U00007,P001,General,Medium,2025-09-08,,0.0,Open
M00301,U00013,P001,Plumbing,High,2026-01-15,2026-01-20,1139.06,Closed
M00302,U00114,P001,General,High,2025-03-03,2025-03-23,1509.02,Closed
M00303,U00104,P001,Pest Control,Low,2025-11-26,2025-12-04,2332.36,Closed
M00304,U00038,P001,Electrical,Low,2025-10-14,,0.0,Open
M00305,U00019,P001,Appliance,Emergency,2023-07-19,2023-07-25,706.72,Closed
M00306,U00151,P001,Plumbing,Medium,2025-04-15,,0.0,Open
M00307,U00217,P001,Electrical,Medium,2024-09-08,2024-10-21,1671.85,Closed
M00308,U00156,P001,General,Emergency,2025-09-11,,0.0,Open
M00309,U00176,P001,Appliance,Medium,2024-09-11,2024-09-18,1226.11,Closed
M00310,U00014,P001,Pest Control,Medium,2024-09-22,2024-09-23,2197.26,Closed
M00311,U00029,P001,Appliance,Emergency,2024-06-03,2024-06-29,2450.87,Closed
M00312,U00110,P001,General,High,2024-01-15,,0.0,Open
M00313,U00245,P001,General,High,2024-09-25,2024-10-25,580.32,Closed
M00314,U00156,P001,Pest Control,High,2024-04-12,2024-05-14,1808.26,Closed
M00315,U00078,P001,HVAC,Emergency,2025-05-15,,0.0,Open
M00316,U00193,P001,Pest Control,Medium,2024-10-11,,0.0,Open
M00317,U00079,P001,Pest Control,High,2025-08-03,2025-09-15,276.6,Closed
M00318,U00041,P001,HVAC,Medium,2024-07-16,,0.0,Open
M00319,U00247,P001,Flooring,High,2025-11-18,,0.0,Open
M00320,U00221,P001,Plumbing,Medium,2025-06-15,2025-06-22,1220.34,Closed
M00321,U00118,P001,Pest Control,Medium,2026-01-03,2026-01-11,2208.05,Closed
M00322,U00063,P001,Electrical,Medium,2025-04-25,2025-06-09,2038.09,Closed
M00323,U00097,P001,Appliance,Medium,2025-08-14,2025-08-28,2058.05,Closed
M00324,U00274,P001,General,Emergency,2025-12-04,2025-12-23,1673.42,Closed
M00325,U00168,P001,Appliance,High,2023-06-11,,0.0,Open
M00326,U00119,P001,Flooring,Medium,2024-10-26,2024-11-26,1754.25,Closed
M00327,U00051,P001,General,Emergency,2025-08-18,2025-09-25,2413.95,Closed
M00328,U00186,P001,Appliance,Medium,2023-09-21,2023-10-31,2313.6,Closed
M00329,U00200,P001,Plumbing,Low,2023-09-07,2023-09-15,1684.69,Closed
M00330,U00029,P001,Plumbing,Medium,2025-10-16,2025-10-21,2122.92,Closed
M00331,U00236,P001,HVAC,Emergency,2024-11-10,,0.0,Open
M00332,U00264,P001,Plumbing,Medium,2023-11-27,,0.0,Open
M00333,U00001,P001,Plumbing,Emergency,2024-03-13,2024-03-26,1350.6,Closed
M00334,U00156,P001,General,High,2023-09-13,2023-10-27,2377.77,Closed
M00335,U00208,P001,Electrical,Medium,2024-07-07,2024-07-21,230.26,Closed
M00336,U00136,P001,General,Medium,2024-02-11,2024-03-12,2374.28,Closed
M00337,U00126,P001,General,High,2025-06-13,,0.0,Open
M00338,U00215,P001,Plumbing,Emergency,2024-03-10,2024-03-15,1941.65,Closed
M00339,U00272,P001,Flooring,Medium,2024-03-13,2024-03-27,1889.1,Closed
M00340,U00270,P001,General,High,2025-01-09,2025-02-03,204.67,Closed
M00341,U00115,P001,Pest Control,Low,2024-04-14,2024-05-01,1923.21,Closed
M00342,U00224,P001,Flooring,Medium,2025-10-15,2025-11-05,2287.0,Closed
M00343,U00034,P001,Electrical,High,2025-11-06,2025-11-22,410.99,Closed
M00344,U00035,P001,General,Emergency,2024-09-10,2024-10-02,392.78,Closed
M00345,U00274,P001,HVAC,High,2025-12-17,,0.0,Open
