unit_id,property_id,unit_number,unit_type,sqft,market_rent,floor,status,name,city,property_type,year_built,is_vacant,annual_market_revenue,rent_per_sqft,property_age,needs_attention,rent_tier,actual_rent,loss_to_lease,occupancy_status
U00033,P001,033,1BR/1BA,678,1667.0,2,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,20004.0,2.46,3,0,Mid-Range,0.0,1667.0,Vacant
U00034,P001,034,1BR/1BA,650,1932.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23184.0,2.97,3,0,Mid-Range,1809.0,123.0,Occupied
U00035,P001,035,1BR/1BA,778,1855.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22260.0,2.38,3,0,Mid-Range,1841.0,14.0,Occupied
U00036,P001,036,1BR/1BA,810,1669.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,20028.0,2.06,3,0,Mid-Range,0.0,1669.0,Vacant
U00037,P001,037,1BR/1BA,805,1630.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19560.0,2.02,3,0,Mid-Range,1435.0,195.0,Occupied
U00038,P001,038,1BR/1BA,788,1931.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23172.0,2.45,3,0,Mid-Range,1788.0,143.0,Occupied
U00039,P001,039,1BR/1BA,803,1680.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20160.0,2.09,3,0,Mid-Range,1505.0,175.0,Occupied
U00040,P001,040,1BR/1BA,742,1901.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22812.0,2.56,3,0,Mid-Range,1805.0,96.0,Occupied
U00041,P001,041,1BR/1BA,664,1646.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19752.0,2.48,3,0,Mid-Range,1548.0,98.0,Occupied
U00042,P001,042,1BR/1BA,671,1843.0,1,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,22116.0,2.75,3,0,Mid-Range,0.0,1843.0,Vacant
U00043,P001,043,1BR/1BA,846,1600.0,6,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,19200.0,1.89,3,0,Mid-Range,0.0,1600.0,Vacant
U00044,P001,044,1BR/1BA,790,1616.0,5,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,19392.0,2.05,3,0,Mid-Range,0.0,1616.0,Vacant
U00045,P001,045,1BR/1BA,758,1936.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23232.0,2.55,3,0,Mid-Range,1804.0,132.0,Occupied
U00046,P001,046,1BR/1BA,832,1675.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20100.0,2.01,3,0,Mid-Range,1537.0,138.0,Occupied
U00047,P001,047,1BR/1BA,762,1910.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22920.0,2.51,3,0,Mid-Range,1881.0,29.0,Occupied
U00048,P001,048,1BR/1BA,713,1640.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19680.0,2.3,3,0,Mid-Range,1625.0,15.0,Occupied
U00049,P001,049,1BR/1BA,800,1772.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21264.0,2.22,3,0,Mid-Range,1690.0,82.0,Occupied
U00050,P001,050,1BR/1BA,651,1578.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18936.0,2.42,3,0,Mid-Range,1448.0,130.0,Occupied
U00051,P001,051,1BR/1BA,708,1577.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18924.0,2.23,3,0,Mid-Range,1527.0,50.0,Occupied
U00052,P001,052,1BR/1BA,668,1756.0,3,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,21072.0,2.63,3,0,Mid-Range,0.0,1756.0,Vacant
U00053,P001,053,1BR/1BA,704,1766.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,21192.0,2.51,3,0,Mid-Range,0.0,1766.0,Vacant
U00054,P001,054,1BR/1BA,797,1739.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20868.0,2.18,3,0,Mid-Range,1570.0,169.0,Occupied
U00055,P001,055,1BR/1BA,698,1588.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19056.0,2.28,3,0,Mid-Range,1432.0,156.0,Occupied
U00056,P001,056,1BR/1BA,740,1719.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20628.0,2.32,3,0,Mid-Range,1546.0,173.0,Occupied
U00057,P001,057,1BR/1BA,822,1811.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21732.0,2.2,3,0,Mid-Range,1619.0,192.0,Occupied
U00058,P001,058,1BR/1BA,665,1711.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20532.0,2.57,3,0,Mid-Range,1596.0,115.0,Occupied
U00059,P001,059,1BR/1BA,713,1627.0,5,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,19524.0,2.28,3,0,Mid-Range,0.0,1627.0,Vacant
U00060,P001,060,1BR/1BA,685,1719.0,3,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,20628.0,2.51,3,0,Mid-Range,0.0,1719.0,Vacant
U00061,P001,061,1BR/1BA,713,1900.0,1,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,22800.0,2.66,3,0,Mid-Range,0.0,1900.0,Vacant
U00062,P001,062,1BR/1BA,790,1589.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,19068.0,2.01,3,0,Mid-Range,0.0,1589.0,Vacant
U00063,P001,063,1BR/1BA,653,1938.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23256.0,2.97,3,0,Mid-Range,1880.0,58.0,Occupied
U00064,P001,064,1BR/1BA,754,1744.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20928.0,2.31,3,0,Mid-Range,1721.0,23.0,Occupied
U00065,P001,065,1BR/1BA,665,1616.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19392.0,2.43,3,0,Mid-Range,1535.0,81.0,Occupied
U00066,P001,066,1BR/1BA,717,1921.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23052.0,2.68,3,0,Mid-Range,1867.0,54.0,Occupied
U00067,P001,067,1BR/1BA,758,1829.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,21948.0,2.41,3,0,Mid-Range,0.0,1829.0,Vacant
U00068,P001,068,1BR/1BA,819,1837.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22044.0,2.24,3,0,Mid-Range,1819.0,18.0,Occupied
U00069,P001,069,1BR/1BA,725,1637.0,1,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,19644.0,2.26,3,0,Mid-Range,0.0,1637.0,Vacant
U00070,P001,070,1BR/1BA,838,1767.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21204.0,2.11,3,0,Mid-Range,1698.0,69.0,Occupied
U00071,P001,071,1BR/1BA,664,1570.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,18840.0,2.36,3,0,Mid-Range,0.0,1570.0,Vacant
U00072,P001,072,1BR/1BA,785,1613.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19356.0,2.05,3,0,Mid-Range,1474.0,139.0,Occupied
U00073,P001,073,1BR/1BA,697,1577.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18924.0,2.26,3,0,Mid-Range,1458.0,119.0,Occupied
U00074,P001,074,1BR/1BA,753,1598.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19176.0,2.12,3,0,Mid-Range,1436.0,162.0,Occupied
U00075,P001,075,1BR/1BA,798,1788.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21456.0,2.24,3,0,Mid-Range,1752.0,36.0,Occupied
U00076,P001,076,1BR/1BA,757,1813.0,5,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,21756.0,2.39,3,0,Mid-Range,0.0,1813.0,Vacant
U00077,P001,077,1BR/1BA,730,1924.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23088.0,2.64,3,0,Mid-Range,1838.0,86.0,Occupied
U00078,P001,078,1BR/1BA,711,1656.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19872.0,2.33,3,0,Mid-Range,1588.0,68.0,Occupied
U00079,P001,079,1BR/1BA,767,1676.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20112.0,2.19,3,0,Mid-Range,1607.0,69.0,Occupied
U00080,P001,080,1BR/1BA,767,1798.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21576.0,2.34,3,0,Mid-Range,1787.0,11.0,Occupied
U00081,P001,081,1BR/1BA,668,1765.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21180.0,2.64,3,0,Mid-Range,1598.0,167.0,Occupied
U00082,P001,082,1BR/1BA,683,1923.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23076.0,2.82,3,0,Mid-Range,1767.0,156.0,Occupied
U00083,P001,083,1BR/1BA,744,1664.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,19968.0,2.24,3,0,Mid-Range,0.0,1664.0,Vacant
U00084,P001,084,1BR/1BA,830,1671.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,20052.0,2.01,3,0,Mid-Range,0.0,1671.0,Vacant
U00085,P001,085,1BR/1BA,652,1817.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21804.0,2.79,3,0,Mid-Range,1718.0,99.0,Occupied
U00086,P001,086,1BR/1BA,819,1591.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19092.0,1.94,3,0,Mid-Range,1418.0,173.0,Occupied
U00087,P001,087,1BR/1BA,679,1906.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,22872.0,2.81,3,0,Mid-Range,0.0,1906.0,Vacant
U00088,P001,088,1BR/1BA,689,1659.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19908.0,2.41,3,0,Mid-Range,1508.0,151.0,Occupied
U00089,P001,089,1BR/1BA,833,1687.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20244.0,2.03,3,0,Mid-Range,1489.0,198.0,Occupied
U00090,P001,090,1BR/1BA,779,1745.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20940.0,2.24,3,0,Mid-Range,1617.0,128.0,Occupied
U00091,P001,091,1BR/1BA,812,1719.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20628.0,2.12,3,0,Mid-Range,1646.0,73.0,Occupied
U00092,P001,092,1BR/1BA,650,1683.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20196.0,2.59,3,0,Mid-Range,1541.0,142.0,Occupied
U00093,P001,093,1BR/1BA,691,1846.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22152.0,2.67,3,0,Mid-Range,1825.0,21.0,Occupied
U00094,P001,094,1BR/1BA,793,1554.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18648.0,1.96,3,0,Mid-Range,1434.0,120.0,Occupied
U00095,P001,095,1BR/1BA,789,1564.0,3,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,18768.0,1.98,3,0,Mid-Range,0.0,1564.0,Vacant
U00096,P001,096,1BR/1BA,791,1609.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19308.0,2.03,3,0,Mid-Range,1515.0,94.0,Occupied
U00097,P001,097,1BR/1BA,728,1696.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,20352.0,2.33,3,0,Mid-Range,1673.0,23.0,Occupied
U00098,P001,098,1BR/1BA,703,1823.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21876.0,2.59,3,0,Mid-Range,1727.0,96.0,Occupied
U00099,P001,099,1BR/1BA,740,1862.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,22344.0,2.52,3,0,Mid-Range,0.0,1862.0,Vacant
U00100,P001,100,1BR/1BA,841,1612.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19344.0,1.92,3,0,Mid-Range,1565.0,47.0,Occupied
U00101,P001,101,1BR/1BA,695,1903.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22836.0,2.74,3,0,Mid-Range,1717.0,186.0,Occupied
U00102,P001,102,1BR/1BA,838,1920.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23040.0,2.29,3,0,Mid-Range,1699.0,221.0,Occupied
U00103,P001,103,1BR/1BA,718,1614.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19368.0,2.25,3,0,Mid-Range,1551.0,63.0,Occupied
U00104,P001,104,1BR/1BA,747,1899.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22788.0,2.54,3,0,Mid-Range,1791.0,108.0,Occupied
U00105,P001,105,1BR/1BA,701,1877.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22524.0,2.68,3,0,Mid-Range,1717.0,160.0,Occupied
U00106,P001,106,1BR/1BA,728,1878.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22536.0,2.58,3,0,Mid-Range,1857.0,21.0,Occupied
U00107,P001,107,1BR/1BA,656,1814.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21768.0,2.77,3,0,Mid-Range,1629.0,185.0,Occupied
U00108,P001,108,1BR/1BA,721,1896.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22752.0,2.63,3,0,Mid-Range,1860.0,36.0,Occupied
U00109,P001,109,1BR/1BA,814,1754.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,21048.0,2.15,3,0,Mid-Range,0.0,1754.0,Vacant
U00110,P001,110,1BR/1BA,734,1926.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23112.0,2.62,3,0,Mid-Range,1763.0,163.0,Occupied
U00111,P001,111,1BR/1BA,695,1782.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21384.0,2.56,3,0,Mid-Range,1585.0,197.0,Occupied
U00112,P001,112,1BR/1BA,677,1789.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21468.0,2.64,3,0,Mid-Range,1597.0,192.0,Occupied
U00113,P001,113,1BR/1BA,761,1792.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21504.0,2.35,3,0,Mid-Range,1597.0,195.0,Occupied
U00114,P001,114,1BR/1BA,748,1910.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22920.0,2.55,3,0,Mid-Range,1762.0,148.0,Occupied
U00115,P001,115,2BR/1BA,861,2119.0,1,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,25428.0,2.46,3,0,Premium,0.0,2119.0,Vacant
U00116,P001,116,2BR/1BA,987,2109.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,25308.0,2.14,3,0,Premium,2050.0,59.0,Occupied
U00117,P001,117,2BR/1BA,943,1994.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23928.0,2.11,3,0,Mid-Range,1932.0,62.0,Occupied
U00118,P001,118,2BR/1BA,1009,1941.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23292.0,1.92,3,0,Mid-Range,1891.0,50.0,Occupied
U00119,P001,119,2BR/1BA,979,1939.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23268.0,1.98,3,0,Mid-Range,1726.0,213.0,Occupied
U00120,P001,120,2BR/1BA,953,2114.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,25368.0,2.22,3,0,Premium,2009.0,105.0,Occupied
U00121,P001,121,2BR/1BA,899,1989.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23868.0,2.21,3,0,Mid-Range,1899.0,90.0,Occupied
U00122,P001,122,2BR/1BA,1007,2056.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,24672.0,2.04,3,0,Premium,0.0,2056.0,Vacant
U00123,P001,123,2BR/1BA,850,1937.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23244.0,2.28,3,0,Mid-Range,1929.0,8.0,Occupied
U00124,P001,124,2BR/1BA,998,2073.0,3,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,24876.0,2.08,3,0,Premium,0.0,2073.0,Vacant
U00125,P001,125,2BR/1BA,963,1999.0,2,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,23988.0,2.08,3,0,Mid-Range,0.0,1999.0,Vacant
U00126,P001,126,2BR/1BA,971,2157.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,25884.0,2.22,3,0,Premium,2124.0,33.0,Occupied
U00127,P001,127,2BR/1BA,1018,1838.0,5,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,22056.0,1.81,3,0,Mid-Range,0.0,1838.0,Vacant
U00128,P001,128,2BR/1BA,935,1842.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22104.0,1.97,3,0,Mid-Range,1739.0,103.0,Occupied
U00129,P001,129,2BR/1BA,907,2163.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,25956.0,2.38,3,0,Premium,1934.0,229.0,Occupied
U00130,P001,130,2BR/1BA,861,1910.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,22920.0,2.22,3,0,Mid-Range,0.0,1910.0,Vacant
U00131,P001,131,2BR/1BA,1046,1833.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,21996.0,1.75,3,0,Mid-Range,0.0,1833.0,Vacant
U00132,P001,132,2BR/1BA,899,2123.0,4,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,25476.0,2.36,3,0,Premium,0.0,2123.0,Vacant
U00133,P001,133,2BR/1BA,952,1910.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,22920.0,2.01,3,0,Mid-Range,1847.0,63.0,Occupied
U00134,P001,134,2BR/1BA,1042,2187.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,26244.0,2.1,3,0,Premium,2138.0,49.0,Occupied
U00135,P001,135,2BR/1BA,906,1879.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,22548.0,2.07,3,0,Mid-Range,0.0,1879.0,Vacant
U00136,P001,136,2BR/1BA,968,1823.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21876.0,1.88,3,0,Mid-Range,1780.0,43.0,Occupied
U00137,P001,137,2BR/1BA,966,1860.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,22320.0,1.93,3,0,Mid-Range,0.0,1860.0,Vacant
U00138,P001,138,2BR/1BA,993,2068.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,24816.0,2.08,3,0,Premium,0.0,2068.0,Vacant
U00139,P001,139,2BR/1BA,1034,2201.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,26412.0,2.13,3,0,Premium,0.0,2201.0,Vacant
U00140,P001,140,2BR/1BA,964,2204.0,6,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,26448.0,2.29,3,0,Premium,0.0,2204.0,Vacant
U00141,P001,141,2BR/1BA,965,1917.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,23004.0,1.99,3,0,Mid-Range,1875.0,42.0,Occupied
U00142,P001,142,2BR/1BA,1046,2150.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,25800.0,2.06,3,0,Premium,1946.0,204.0,Occupied
U00143,P001,143,2BR/2BA,1020,2220.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,26640.0,2.18,3,0,Premium,2070.0,150.0,Occupied
U00144,P001,144,2BR/2BA,1010,2136.0,3,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,25632.0,2.11,3,0,Premium,0.0,2136.0,Vacant
U00145,P001,145,2BR/2BA,970,2069.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,24828.0,2.13,3,0,Premium,1842.0,227.0,Occupied
U00146,P001,146,2BR/2BA,1127,2076.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,24912.0,1.84,3,0,Premium,1945.0,131.0,Occupied
U00147,P001,147,2BR/2BA,1056,2204.0,5,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,26448.0,2.09,3,0,Premium,0.0,2204.0,Vacant
U00148,P001,148,2BR/2BA,1056,2031.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,24372.0,1.92,3,0,Premium,2022.0,9.0,Occupied
U00149,P001,149,2BR/2BA,1147,2292.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,27504.0,2.0,3,0,Premium,2253.0,39.0,Occupied
U00150,P001,150,2BR/2BA,1145,2288.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,27456.0,2.0,3,0,Premium,2069.0,219.0,Occupied
U00151,P001,151,2BR/2BA,1040,2149.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,25788.0,2.07,3,0,Premium,1904.0,245.0,Occupied
U00152,P001,152,2BR/2BA,1087,2374.0,5,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,28488.0,2.18,3,0,Premium,0.0,2374.0,Vacant
U00153,P001,153,2BR/2BA,1006,2244.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,26928.0,2.23,3,0,Premium,2144.0,100.0,Occupied
U00154,P001,154,2BR/2BA,1074,2015.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,24180.0,1.88,3,0,Premium,1978.0,37.0,Occupied
