ticket_id,unit_id,property_id,category,priority,open_date,close_date,cost,status,name,city,resolution_days,is_open,days_open,sla_days,sla_breach,cost_tier
M00036,U00064,P001,Plumbing,Low,2024-01-11,2024-02-02,1626.45,Closed,Duvall Westside,Laurel,22.0,0,816,14,0,High
M00037,U00237,P001,Electrical,Medium,2025-01-10,2025-01-27,638.96,Closed,Duvall Westside,Laurel,17.0,0,451,7,0,Medium
M00038,U00037,P001,Pest Control,Medium,2026-02-15,2026-03-10,2359.33,Closed,Duvall Westside,Laurel,23.0,0,50,7,0,High
M00039,U00240,P001,Flooring,Medium,2025-08-30,2025-09-14,889.39,Closed,Duvall Westside,Laurel,15.0,0,219,7,0,Medium
M00040,U00250,P001,Appliance,Low,2025-08-14,2025-09-25,966.53,Closed,Duvall Westside,Laurel,42.0,0,235,14,0,Medium
M00041,U00110,P001,Flooring,Medium,2024-04-06,2024-04-16,1364.2,Closed,Duvall Westside,Laurel,10.0,0,730,7,0,High
M00042,U00191,P001,Appliance,Emergency,2023-07-07,,0.0,Open,Duvall Westside,Laurel,,1,1004,1,1,No Cost
M00043,U00177,P001,Electrical,Emergency,2025-02-07,,0.0,Open,Duvall Westside,Laurel,,1,423,1,1,No Cost
M00044,U00186,P001,Flooring,Low,2025-09-15,2025-09-25,1979.17,Closed,Duvall Westside,Laurel,10.0,0,203,14,0,High
M00045,U00272,P001,Pest Control,Medium,2024-01-27,2024-02-23,460.73,Closed,Duvall Westside,Laurel,27.0,0,800,7,0,Medium
M00046,U00110,P001,General,Medium,2025-11-26,2025-11-28,1189.28,Closed,Duvall Westside,Laurel,2.0,0,131,7,0,High
M00047,U00129,P001,Electrical,Emergency,2025-11-27,2025-12-04,673.49,Closed,Duvall Westside,Laurel,7.0,0,130,1,0,Medium
M00048,U00253,P001,General,Emergency,2026-02-26,2026-04-12,651.61,Closed,Duvall Westside,Laurel,45.0,0,39,1,0,Medium
M00049,U00149,P001,Plumbing,Emergency,2025-05-16,2025-06-22,883.11,Closed,Duvall Westside,Laurel,37.0,0,325,1,0,Medium
M00050,U00022,P001,Flooring,Medium,2026-03-19,,0.0,Open,Duvall Westside,Laurel,,1,18,7,1,No Cost
M00051,U00191,P001,General,High,2023-08-15,2023-08-17,517.86,Closed,Duvall Westside,Laurel,2.0,0,965,3,0,Medium
M00052,U00199,P001,Plumbing,Low,2023-11-07,2023-12-17,1710.62,Closed,Duvall Westside,Laurel,40.0,0,881,14,0,High
M00053,U00021,P001,Pest Control,Low,2025-11-14,2025-12-09,1177.03,Closed,Duvall Westside,Laurel,25.0,0,143,14,0,High
M00054,U00139,P001,Flooring,Low,2026-02-26,2026-04-12,1513.59,Closed,Duvall Westside,Laurel,45.0,0,39,14,0,High
M00055,U00271,P001,Appliance,Medium,2023-12-18,2023-12-28,319.11,Closed,Duvall Westside,Laurel,10.0,0,840,7,0,Medium
M00056,U00187,P001,Flooring,Medium,2025-10-16,2025-11-29,662.47,Closed,Duvall Westside,Laurel,44.0,0,172,7,0,Medium
M00057,U00102,P001,Pest Control,High,2026-02-21,,0.0,Open,Duvall Westside,Laurel,,1,44,3,1,No Cost
M00058,U00189,P001,General,Medium,2025-09-12,2025-09-16,1163.41,Closed,Duvall Westside,Laurel,4.0,0,206,7,0,High
M00059,U00069,P001,Flooring,Emergency,2024-08-13,2024-08-19,2419.24,Closed,Duvall Westside,Laurel,6.0,0,601,1,0,High
M00060,U00119,P001,Pest Control,Medium,2024-01-05,2024-02-14,67.89,Closed,Duvall Westside,Laurel,40.0,0,822,7,0,Low
M00061,U00140,P001,HVAC,Low,2026-01-14,,0.0,Open,Duvall Westside,Laurel,,1,82,14,1,No Cost
M00062,U00159,P001,HVAC,High,2025-02-24,,0.0,Open,Duvall Westside,Laurel,,1,406,3,1,No Cost
M00063,U00117,P001,Electrical,High,2024-09-03,2024-10-10,1064.41,Closed,Duvall Westside,Laurel,37.0,0,580,3,0,High
M00064,U00033,P001,General,Medium,2023-07-16,2023-08-28,76.96,Closed,Duvall Westside,Laurel,43.0,0,995,7,0,Low
M00065,U00027,P001,Electrical,Medium,2025-06-15,2025-07-13,2116.53,Closed,Duvall Westside,Laurel,28.0,0,295,7,0,High
M00066,U00079,P001,Electrical,Low,2024-05-22,,0.0,Open,Duvall Westside,Laurel,,1,684,14,1,No Cost
M00067,U00176,P001,HVAC,High,2024-09-28,,0.0,Open,Duvall Westside,Laurel,,1,555,3,1,No Cost
M00068,U00242,P001,Pest Control,Emergency,2024-11-23,2024-11-28,396.65,Closed,Duvall Westside,Laurel,5.0,0,499,1,0,Medium
M00069,U00260,P001,Pest Control,Emergency,2025-08-08,2025-09-15,304.03,Closed,Duvall Westside,Laurel,38.0,0,241,1,0,Medium
M00070,U00065,P001,General,Medium,2024-07-06,,0.0,Open,Duvall Westside,Laurel,,1,639,7,1,No Cost
M00071,U00086,P001,Plumbing,Medium,2024-05-06,2024-05-17,2022.5,Closed,Duvall Westside,Laurel,11.0,0,700,7,0,High
M00072,U00043,P001,Plumbing,Emergency,2026-02-26,,0.0,Open,Duvall Westside,Laurel,,1,39,1,1,No Cost
M00073,U00280,P001,Flooring,Medium,2025-04-13,,0.0,Open,Duvall Westside,Laurel,,1,358,7,1,No Cost
M00074,U00157,P001,Electrical,Medium,2025-12-11,,0.0,Open,Duvall Westside,Laurel,,1,116,7,1,No Cost
M00075,U00140,P001,Electrical,Medium,2024-08-13,2024-09-26,2056.48,Closed,Duvall Westside,Laurel,44.0,0,601,7,0,High
M00076,U00144,P001,Appliance,Low,2024-01-11,2024-02-25,1354.19,Closed,Duvall Westside,Laurel,45.0,0,816,14,0,High
M00077,U00176,P001,Plumbing,Medium,2025-07-22,,0.0,Open,Duvall Westside,Laurel,,1,258,7,1,No Cost
M00078,U00097,P001,Flooring,Low,2025-04-23,2025-05-07,1403.91,Closed,Duvall Westside,Laurel,14.0,0,348,14,0,High
M00079,U00277,P001,Plumbing,Emergency,2024-08-17,2024-09-14,1306.83,Closed,Duvall Westside,Laurel,28.0,0,597,1,0,High
M00080,U00052,P001,Flooring,Medium,2026-03-14,,0.0,Open,Duvall Westside,Laurel,,1,23,7,1,No Cost
M00081,U00134,P001,Electrical,Medium,2024-05-05,2024-05-10,689.54,Closed,Duvall Westside,Laurel,5.0,0,701,7,0,Medium
M00082,U00268,P001,HVAC,Medium,2024-10-10,2024-10-14,2253.53,Closed,Duvall Westside,Laurel,4.0,0,543,7,0,High
M00083,U00057,P001,HVAC,High,2024-05-12,2024-06-06,77.97,Closed,Duvall Westside,Laurel,25.0,0,694,3,0,Low
M00084,U00001,P001,Flooring,High,2025-08-17,,0.0,Open,Duvall Westside,Laurel,,1,232,3,1,No Cost
M00085,U00240,P001,Electrical,Low,2023-06-22,,0.0,Open,Duvall Westside,Laurel,,1,1019,14,1,No Cost
M00086,U00248,P001,Electrical,Low,2024-09-28,2024-10-23,403.73,Closed,Duvall Westside,Laurel,25.0,0,555,14,0,Medium
M00087,U00192,P001,Plumbing,High,2025-10-10,2025-11-24,2103.93,Closed,Duvall Westside,Laurel,45.0,0,178,3,0,High
M00088,U00214,P001,HVAC,Low,2026-03-18,2026-04-06,1386.72,Closed,Duvall Westside,Laurel,19.0,0,19,14,0,High
M00089,U00265,P001,Electrical,Emergency,2023-09-10,2023-09-17,1277.46,Closed,Duvall Westside,Laurel,7.0,0,939,1,0,High
M00090,U00114,P001,Plumbing,Medium,2024-04-27,2024-05-17,1653.14,Closed,Duvall Westside,Laurel,20.0,0,709,7,0,High
M00091,U00206,P001,Appliance,Emergency,2025-10-27,2025-11-03,1492.61,Closed,Duvall Westside,Laurel,7.0,0,161,1,0,High
M00092,U00043,P001,Electrical,Low,2025-03-23,2025-05-06,1894.19,Closed,Duvall Westside,Laurel,44.0,0,379,14,0,High
M00093,U00011,P001,Electrical,Medium,2023-08-07,,0.0,Open,Duvall Westside,Laurel,,1,973,7,1,No Cost
M00094,U00250,P001,General,Low,2024-09-12,2024-10-04,2045.16,Closed,Duvall Westside,Laurel,22.0,0,571,14,0,High
M00095,U00059,P001,General,Emergency,2025-12-09,2025-12-17,1403.16,Closed,Duvall Westside,Laurel,8.0,0,118,1,0,High
M00096,U00192,P001,Flooring,Emergency,2023-12-22,2024-01-26,398.39,Closed,Duvall Westside,Laurel,35.0,0,836,1,0,Medium
M00097,U00201,P001,Electrical,Low,2026-01-02,2026-01-10,2403.78,Closed,Duvall Westside,Laurel,8.0,0,94,14,0,High
M00098,U00127,P001,Plumbing,Emergency,2024-10-22,2024-11-17,1835.13,Closed,Duvall Westside,Laurel,26.0,0,531,1,0,High
M00099,U00175,P001,HVAC,High,2023-06-08,2023-06-16,1087.44,Closed,Duvall Westside,Laurel,8.0,0,1033,3,0,High
M00100,U00013,P001,Flooring,Emergency,2025-12-19,2026-01-06,1310.28,Closed,Duvall Westside,Laurel,18.0,0,108,1,0,High
M00101,U00073,P001,Pest Control,Emergency,2024-09-17,2024-10-11,1385.83,Closed,Duvall Westside,Laurel,24.0,0,566,1,0,High
M00102,U00258,P001,Pest Control,Medium,2024-06-28,2024-08-07,1615.01,Closed,Duvall Westside,Laurel,40.0,0,647,7,0,High
M00103,U00003,P001,Electrical,Medium,2025-12-05,2025-12-26,2135.64,Closed,Duvall Westside,Laurel,21.0,0,122,7,0,High
M00104,U00246,P001,Appliance,Medium,2024-11-01,2024-11-15,1940.15,Closed,Duvall Westside,Laurel,14.0,0,521,7,0,High
M00105,U00177,P001,Plumbing,Low,2024-04-29,2024-05-19,165.36,Closed,Duvall Westside,Laurel,20.0,0,707,14,0,Low
M00106,U00046,P001,HVAC,Emergency,2024-10-13,2024-11-19,859.53,Closed,Duvall Westside,Laurel,37.0,0,540,1,0,Medium
M00107,U00263,P001,General,Emergency,2026-02-12,2026-02-13,2332.74,Closed,Duvall Westside,Laurel,1.0,0,53,1,0,High
M00108,U00174,P001,Pest Control,Emergency,2025-12-16,2026-01-17,249.54,Closed,Duvall Westside,Laurel,32.0,0,111,1,0,Low
M00109,U00249,P001,General,Low,2024-06-28,2024-07-25,1275.78,Closed,Duvall Westside,Laurel,27.0,0,647,14,0,High
M00110,U00030,P001,Flooring,Medium,2023-10-29,2023-12-13,985.87,Closed,Duvall Westside,Laurel,45.0,0,890,7,0,Medium
M00111,U00169,P001,Plumbing,High,2024-10-31,2024-11-15,1913.88,Closed,Duvall Westside,Laurel,15.0,0,522,3,0,High
M00112,U00165,P001,HVAC,Medium,2025-12-04,2025-12-21,332.49,Closed,Duvall Westside,Laurel,17.0,0,123,7,0,Medium
M00113,U00233,P001,Pest Control,High,2025-12-23,2026-02-04,1117.18,Closed,Duvall Westside,Laurel,43.0,0,104,3,0,High
M00114,U00032,P001,Plumbing,High,2024-12-25,2025-01-15,2357.27,Closed,Duvall Westside,Laurel,21.0,0,467,3,0,High
M00115,U00233,P001,General,Medium,2023-11-11,2023-12-12,1912.75,Closed,Duvall Westside,Laurel,31.0,0,877,7,0,High
M00116,U00023,P001,HVAC,Medium,2024-05-28,2024-06-24,1883.62,Closed,Duvall Westside,Laurel,27.0,0,678,7,0,High
M00117,U00232,P001,Appliance,High,2024-11-22,,0.0,Open,Duvall Westside,Laurel,,1,500,3,1,No Cost
M00118,U00175,P001,Plumbing,Low,2025-02-08,2025-03-15,2154.02,Closed,Duvall Westside,Laurel,35.0,0,422,14,0,High
M00119,U00156,P001,General,High,2024-08-18,,0.0,Open,Duvall Westside,Laurel,,1,596,3,1,No Cost
M00120,U00278,P001,Plumbing,Medium,2025-08-01,2025-08-23,2120.56,Closed,Duvall Westside,Laurel,22.0,0,248,7,0,High
M00121,U00084,P001,Electrical,Low,2025-12-18,2026-01-25,2232.95,Closed,Duvall Westside,Laurel,38.0,0,109,14,0,High
M00122,U00185,P001,Pest Control,Emergency,2025-02-02,,0.0,Open,Duvall Westside,Laurel,,1,428,1,1,No Cost
M00123,U00212,P001,Pest Control,Low,2024-01-02,2024-02-02,2385.74,Closed,Duvall Westside,Laurel,31.0,0,825,14,0,High
M00124,U00243,P001,Electrical,Medium,2025-12-07,2026-01-20,1870.79,Closed,Duvall Westside,Laurel,44.0,0,120,7,0,High
M00125,U00215,P001,Appliance,High,2024-04-02,2024-05-02,421.67,Closed,Duvall Westside,Laurel,30.0,0,734,3,0,Medium
M00126,U00199,P001,General,Emergency,2024-08-04,2024-08-26,707.49,Closed,Duvall Westside,Laurel,22.0,0,610,1,0,Medium
M00127,U00013,P001,Pest Control,Medium,2023-06-22,2023-07-09,2393.76,Closed,Duvall Westside,Laurel,17.0,0,1019,7,0,High
M00128,U00195,P001,Flooring,Medium,2025-10-01,2025-10-29,978.44,Closed,Duvall Westside,Laurel,28.0,0,187,7,0,Medium
M00129,U00094,P001,Pest Control,High,2023-10-17,2023-10-26,2332.15,Closed,Duvall Westside,Laurel,9.0,0,902,3,0,High
M00130,U00281,P001,Electrical,Low,2025-11-23,,0.0,Open,Duvall Westside,Laurel,,1,134,14,1,No Cost
M00131,U00234,P001,Electrical,Emergency,2025-07-07,2025-08-18,552.55,Closed,Duvall Westside,Laurel,42.0,0,273,1,0,Medium
M00132,U00209,P001,HVAC,High,2024-08-30,2024-10-07,500.16,Closed,Duvall Westside,Laurel,38.0,0,584,3,0,Medium
M00133,U00228,P001,Plumbing,Low,2023-09-21,,0.0,Open,Duvall Westside,Laurel,,1,928,14,1,No Cost
M00134,U00123,P001,Appliance,Low,2024-02-22,2024-03-20,472.36,Closed,Duvall Westside,Laurel,27.0,0,774,14,0,Medium
M00135,U00017,P001,Electrical,Emergency,2024-05-09,2024-05-20,617.98,Closed,Duvall Westside,Laurel,11.0,0,697,1,0,Medium
M00136,U00124,P001,Plumbing,Medium,2024-08-15,2024-08-30,667.97,Closed,Duvall Westside,Laurel,15.0,0,599,7,0,Medium
M00137,U00195,P001,Plumbing,High,2023-07-27,,0.0,Open,Duvall Westside,Laurel,,1,984,3,1,No Cost
M00138,U00194,P001,Flooring,Medium,2024-09-07,2024-09-08,1027.13,Closed,Duvall Westside,Laurel,1.0,0,576,7,0,High
M00139,U00177,P001,General,Medium,2024-06-25,2024-07-30,2205.89,Closed,Duvall Westside,Laurel,35.0,0,650,7,0,High
M00140,U00166,P001,Pest Control,Medium,2025-02-15,2025-03-20,891.9,Closed,Duvall Westside,Laurel,33.0,0,415,7,0,Medium
M00141,U00247,P001,General,Low,2023-08-07,,0.0,Open,Duvall Westside,Laurel,,1,973,14,1,No Cost
M00142,U00136,P001,Appliance,Emergency,2025-04-19,2025-05-20,1960.69,Closed,Duvall Westside,Laurel,31.0,0,352,1,0,High
M00143,U00175,P001,HVAC,Low,2024-01-25,,0.0,Open,Duvall Westside,Laurel,,1,802,14,1,No Cost
M00144,U00267,P001,Pest Control,Low,2024-11-06,2024-11-29,2409.56,Closed,Duvall Westside,Laurel,23.0,0,516,14,0,High
M00145,U00074,P001,Flooring,Low,2025-03-25,2025-04-23,1054.98,Closed,Duvall Westside,Laurel,29.0,0,377,14,0,High
M00146,U00155,P001,HVAC,Medium,2025-04-13,,0.0,Open,Duvall Westside,Laurel,,1,358,7,1,No Cost
M00147,U00246,P001,Flooring,High,2025-12-01,2025-12-03,1712.9,Closed,Duvall Westside,Laurel,2.0,0,126,3,0,High
M00148,U00022,P001,HVAC,Emergency,2024-02-22,2024-03-09,2224.9,Closed,Duvall Westside,Laurel,16.0,0,774,1,0,High
M00149,U00247,P001,Plumbing,Low,2025-03-29,2025-04-25,2310.13,Closed,Duvall Westside,Laurel,27.0,0,373,14,0,High
M00150,U00068,P001,Flooring,High,2026-02-16,2026-03-22,1267.8,Closed,Duvall Westside,Laurel,34.0,0,49,3,0,High
M00151,U00040,P001,Appliance,Medium,2025-02-24,2025-03-23,475.52,Closed,Duvall Westside,Laurel,27.0,0,406,7,0,Medium
M00152,U00058,P001,Electrical,Emergency,2025-08-12,2025-08-20,1096.42,Closed,Duvall Westside,Laurel,8.0,0,237,1,0,High
M00153,U00121,P001,HVAC,Medium,2026-04-03,2026-04-04,97.5,Closed,Duvall Westside,Laurel,1.0,0,3,7,0,Low
M00154,U00041,P001,General,Low,2024-06-01,2024-06-21,879.26,Closed,Duvall Westside,Laurel,20.0,0,674,14,0,Medium
M00155,U00041,P001,HVAC,Low,2024-03-28,2024-05-09,1892.75,Closed,Duvall Westside,Laurel,42.0,0,739,14,0,High
M00156,U00043,P001,General,High,2025-06-09,2025-06-27,213.72,Closed,Duvall Westside,Laurel,18.0,0,301,3,0,Low
M00157,U00142,P001,Flooring,High,2024-03-08,2024-04-22,216.97,Closed,Duvall Westside,Laurel,45.0,0,759,3,0,Low
M00158,U00138,P001,Electrical,High,2024-02-25,,0.0,Open,Duvall Westside,Laurel,,1,771,3,1,No Cost
M00159,U00164,P001,General,Low,2023-12-18,2024-01-13,1718.32,Closed,Duvall Westside,Laurel,26.0,0,840,14,0,High
M00160,U00230,P001,Appliance,Medium,2024-05-15,,0.0,Open,Duvall Westside,Laurel,,1,691,7,1,No Cost
M00161,U00118,P001,Pest Control,High,2023-09-22,2023-10-14,766.27,Closed,Duvall Westside,Laurel,22.0,0,927,3,0,Medium
M00162,U00278,P001,Pest Control,Medium,2024-07-18,2024-08-11,1293.84,Closed,Duvall Westside,Laurel,24.0,0,627,7,0,High
M00163,U00253,P001,HVAC,Medium,2024-08-16,2024-09-27,75.64,Closed,Duvall Westside,Laurel,42.0,0,598,7,0,Low
M00164,U00026,P001,Pest Control,Low,2024-11-13,2024-12-22,426.15,Closed,Duvall Westside,Laurel,39.0,0,509,14,0,Medium
M00165,U00069,P001,Electrical,High,2023-11-02,2023-12-15,1352.24,Closed,Duvall Westside,Laurel,43.0,0,886,3,0,High
M00166,U00257,P001,General,Low,2025-12-29,2026-01-22,158.5,Closed,Duvall Westside,Laurel,24.0,0,98,14,0,Low
M00167,U00055,P001,Flooring,High,2026-03-13,2026-04-13,1689.81,Closed,Duvall Westside,Laurel,31.0,0,24,3,0,High
M00168,U00015,P001,Flooring,Medium,2025-05-18,2025-05-27,163.24,Closed,Duvall Westside,Laurel,9.0,0,323,7,0,Low
M00169,U00080,P001,Flooring,Medium,2024-02-14,2024-02-24,2425.35,Closed,Duvall Westside,Laurel,10.0,0,782,7,0,High
M00170,U00231,P001,Pest Control,Low,2024-12-02,2024-12-15,1897.18,Closed,Duvall Westside,Laurel,13.0,0,490,14,0,High
M00171,U00175,P001,Flooring,Medium,2023-12-29,2024-02-08,2275.96,Closed,Duvall Westside,Laurel,41.0,0,829,7,0,High
M00172,U00166,P001,Pest Control,Low,2023-11-06,2023-11-20,2015.08,Closed,Duvall Westside,Laurel,14.0,0,882,14,0,High
M00173,U00228,P001,Plumbing,Medium,2024-05-03,,0.0,Open,Duvall Westside,Laurel,,1,703,7,1,No Cost
M00174,U00239,P001,Appliance,High,2025-02-09,2025-02-17,2487.55,Closed,Duvall Westside,Laurel,8.0,0,421,3,0,High
M00175,U00159,P001,HVAC,Medium,2026-01-13,,0.0,Open,Duvall Westside,Laurel,,1,83,7,1,No Cost
M00176,U00211,P001,HVAC,High,2024-02-22,2024-02-28,1316.97,Closed,Duvall Westside,Laurel,6.0,0,774,3,0,High
M00177,U00280,P001,HVAC,Low,2024-05-30,2024-07-06,2383.55,Closed,Duvall Westside,Laurel,37.0,0,676,14,0,High
M00178,U00241,P001,General,High,2024-09-25,2024-11-06,1113.9,Closed,Duvall Westside,Laurel,42.0,0,558,3,0,High
M00179,U00237,P001,Electrical,Medium,2024-11-10,2024-12-21,799.01,Closed,Duvall Westside,Laurel,41.0,0,512,7,0,Medium
M00180,U00176,P001,Pest Control,Medium,2026-01-03,2026-01-14,1528.82,Closed,Duvall Westside,Laurel,11.0,0,93,7,0,High
M00181,U00193,P001,Appliance,High,2024-01-12,2024-02-07,1894.07,Closed,Duvall Westside,Laurel,26.0,0,815,3,0,High
M00182,U00158,P001,HVAC,Emergency,2023-08-28,,0.0,Open,Duvall Westside,Laurel,,1,952,1,1,No Cost
M00183,U00025,P001,Pest Control,Medium,2024-12-05,,0.0,Open,Duvall Westside,Laurel,,1,487,7,1,No Cost
M00184,U00010,P001,General,Medium,2024-02-12,2024-03-21,2167.15,Closed,Duvall Westside,Laurel,38.0,0,784,7,0,High
M00185,U00026,P001,General,Low,2023-09-11,2023-09-12,1523.45,Closed,Duvall Westside,Laurel,1.0,0,938,14,0,High
M00186,U00215,P001,General,Medium,2026-02-14,2026-03-13,362.24,Closed,Duvall Westside,Laurel,27.0,0,51,7,0,Medium
M00187,U00086,P001,Electrical,High,2024-03-10,2024-03-27,1505.05,Closed,Duvall Westside,Laurel,17.0,0,757,3,0,High
M00188,U00017,P001,HVAC,High,2024-09-15,2024-09-21,1808.69,Closed,Duvall Westside,Laurel,6.0,0,568,3,0,High
M00189,U00138,P001,Pest Control,Low,2023-12-23,2024-01-02,1193.56,Closed,Duvall Westside,Laurel,10.0,0,835,14,0,High
M00190,U00056,P001,General,Low,2025-12-29,2026-01-10,1020.2,Closed,Duvall Westside,Laurel,12.0,0,98,14,0,High
M00191,U00034,P001,Appliance,High,2025-04-03,2025-04-04,2203.06,Closed,Duvall Westside,Laurel,1.0,0,368,3,0,High
M00192,U00034,P001,Flooring,Medium,2024-02-13,,0.0,Open,Duvall Westside,Laurel,,1,783,7,1,No Cost
M00193,U00115,P001,HVAC,Medium,2024-12-10,2024-12-30,450.78,Closed,Duvall Westside,Laurel,20.0,0,482,7,0,Medium
M00194,U00276,P001,General,Medium,2025-03-23,2025-05-06,1067.82,Closed,Duvall Westside,Laurel,44.0,0,379,7,0,High
M00195,U00247,P001,Pest Control,High,2023-11-16,,0.0,Open,Duvall Westside,Laurel,,1,872,3,1,No Cost
M00196,U00128,P001,Pest Control,Emergency,2023-07-11,,0.0,Open,Duvall Westside,Laurel,,1,1000,1,1,No Cost
M00197,U00086,P001,Electrical,Medium,2025-02-06,2025-02-22,1036.58,Closed,Duvall Westside,Laurel,16.0,0,424,7,0,High
M00198,U00006,P001,Plumbing,Medium,2024-03-20,2024-03-22,1457.89,Closed,Duvall Westside,Laurel,2.0,0,747,7,0,High
M00199,U00029,P001,Electrical,Medium,2025-12-15,2026-01-26,813.82,Closed,Duvall Westside,Laurel,42.0,0,112,7,0,Medium
M00200,U00075,P001,Electrical,Emergency,2026-02-26,2026-03-19,829.34,Closed,Duvall Westside,Laurel,21.0,0,39,1,0,Medium
M00201,U00027,P001,General,Medium,2024-05-26,2024-06-03,1031.35,Closed,Duvall Westside,Laurel,8.0,0,680,7,0,High
M00202,U00253,P001,Flooring,Medium,2023-10-04,2023-11-02,2378.39,Closed,Duvall Westside,Laurel,29.0,0,915,7,0,High
M00203,U00138,P001,Flooring,Medium,2024-07-07,2024-07-22,1725.58,Closed,Duvall Westside,Laurel,15.0,0,638,7,0,High
M00204,U00205,P001,Flooring,Low,2024-12-19,2025-01-02,1861.39,Closed,Duvall Westside,Laurel,14.0,0,473,14,0,High
