payment_id,tenant_id,unit_id,property_id,period_month,amount_due,amount_paid,payment_date,status
PAY000096,T00024,U00032,P001,2024-04,1509.0,1509.0,2024-05-04,Paid
PAY000097,T00024,U00032,P001,2024-05,1509.0,1509.0,2024-06-02,Paid
PAY000098,T00024,U00032,P001,2024-06,1509.0,1509.0,2024-07-04,Paid
PAY000099,T00024,U00032,P001,2024-07,1509.0,1509.0,2024-07-31,Paid
PAY000100,T00024,U00032,P001,2024-08,1509.0,1509.0,2024-09-02,Paid
PAY000101,T00024,U00032,P001,2024-09,1509.0,1509.0,2024-10-02,Paid
PAY000102,T00024,U00032,P001,2024-10,1509.0,1509.0,2024-10-31,Paid
PAY000103,T00024,U00032,P001,2024-11,1509.0,1509.0,2024-11-29,Paid
PAY000104,T00024,U00032,P001,2024-12,1509.0,1509.0,2024-12-31,Paid
PAY000105,T00024,U00032,P001,2025-01,1509.0,1509.0,2025-01-28,Paid
PAY000106,T00024,U00032,P001,2025-02,1509.0,1509.0,2025-02-26,Paid
PAY000107,T00027,U00035,P001,2024-01,1841.0,1841.0,2024-01-05,Paid
PAY000108,T00027,U00035,P001,2024-01,1841.0,1841.0,2024-02-01,Paid
PAY000109,T00027,U00035,P001,2024-03,1841.0,1841.0,2024-03-03,Paid
PAY000110,T00027,U00035,P001,2024-03,1841.0,1841.0,2024-04-04,Paid
PAY000111,T00027,U00035,P001,2024-04,1841.0,1841.0,2024-05-03,Paid
PAY000112,T00027,U00035,P001,2024-05,1841.0,1841.0,2024-06-04,Paid
PAY000113,T00027,U00035,P001,2024-06,1841.0,1841.0,2024-07-02,Paid
PAY000114,T00027,U00035,P001,2024-07,1841.0,1841.0,2024-08-01,Paid
PAY000115,T00027,U00035,P001,2024-08,1841.0,1841.0,2024-08-29,Paid
PAY000116,T00027,U00035,P001,2024-09,1841.0,1841.0,2024-10-01,Paid
PAY000117,T00027,U00035,P001,2024-10,1841.0,1841.0,2024-10-28,Paid
PAY000118,T00027,U00035,P001,2024-11,1841.0,1841.0,2024-11-29,Paid
PAY000119,T00027,U00035,P001,2024-12,1841.0,1841.0,2024-12-30,Paid
PAY000120,T00027,U00035,P001,2025-01,1841.0,1841.0,2025-01-26,Paid
PAY000121,T00028,U00037,P001,2024-05,1435.0,1435.0,2024-06-04,Paid
PAY000122,T00028,U00037,P001,2024-06,1435.0,1435.0,2024-07-04,Paid
PAY000123,T00028,U00037,P001,2024-07,1435.0,1435.0,2024-08-02,Paid
PAY000124,T00028,U00037,P001,2024-08,1435.0,1435.0,2024-08-30,Paid
PAY000125,T00028,U00037,P001,2024-09,1435.0,1435.0,2024-09-30,Paid
PAY000126,T00028,U00037,P001,2024-10,1435.0,1435.0,2024-10-31,Paid
PAY000127,T00028,U00037,P001,2024-11,1435.0,1435.0,2024-11-29,Paid
PAY000128,T00028,U00037,P001,2024-12,1435.0,1435.0,2024-12-28,Paid
PAY000129,T00028,U00037,P001,2025-01,1435.0,1435.0,2025-01-30,Paid
PAY000130,T00028,U00037,P001,2025-02,1435.0,1435.0,2025-02-28,Paid
PAY000131,T00029,U00038,P001,2024-01,1788.0,1788.0,2024-01-06,Paid
PAY000132,T00029,U00038,P001,2024-01,1788.0,1788.0,2024-02-01,Paid
PAY000133,T00029,U00038,P001,2024-03,1788.0,1788.0,2024-03-03,Paid
PAY000134,T00029,U00038,P001,2024-03,1788.0,1788.0,2024-04-05,Paid
PAY000135,T00029,U00038,P001,2024-04,1788.0,1720.0,2024-05-09,Partial
PAY000136,T00029,U00038,P001,2024-05,1788.0,1392.0,2024-06-07,Partial
PAY000137,T00029,U00038,P001,2024-06,1788.0,1788.0,2024-07-02,Paid
PAY000138,T00029,U00038,P001,2024-07,1788.0,1788.0,2024-07-30,Paid
PAY000139,T00029,U00038,P001,2024-08,1788.0,0.0,,Delinquent
PAY000140,T00029,U00038,P001,2024-09,1788.0,1788.0,2024-09-29,Paid
PAY000141,T00029,U00038,P001,2024-10,1788.0,1788.0,2024-10-31,Paid
PAY000142,T00029,U00038,P001,2024-11,1788.0,1788.0,2024-11-30,Paid
PAY000143,T00029,U00038,P001,2024-12,1788.0,1788.0,2024-12-28,Paid
PAY000144,T00029,U00038,P001,2025-01,1788.0,1788.0,2025-01-27,Paid
PAY000145,T00029,U00038,P001,2025-02,1788.0,1788.0,2025-02-25,Paid
PAY000146,T00030,U00039,P001,2024-01,1505.0,1505.0,2024-01-03,Paid
PAY000147,T00030,U00039,P001,2024-01,1505.0,1505.0,2024-02-02,Paid
PAY000148,T00030,U00039,P001,2024-03,1505.0,1505.0,2024-03-06,Paid
PAY000149,T00030,U00039,P001,2024-03,1505.0,1505.0,2024-04-03,Paid
PAY000150,T00031,U00040,P001,2024-03,1805.0,1805.0,2024-03-03,Paid
PAY000151,T00031,U00040,P001,2024-03,1805.0,1805.0,2024-04-04,Paid
PAY000152,T00031,U00040,P001,2024-04,1805.0,1805.0,2024-05-04,Paid
PAY000153,T00031,U00040,P001,2024-05,1805.0,1805.0,2024-06-03,Paid
PAY000154,T00031,U00040,P001,2024-06,1805.0,1805.0,2024-07-03,Paid
PAY000155,T00031,U00040,P001,2024-07,1805.0,1805.0,2024-07-30,Paid
PAY000156,T00031,U00040,P001,2024-08,1805.0,1805.0,2024-08-31,Paid
PAY000157,T00031,U00040,P001,2024-09,1805.0,1805.0,2024-09-29,Paid
PAY000158,T00031,U00040,P001,2024-10,1805.0,1805.0,2024-10-30,Paid
PAY000159,T00031,U00040,P001,2024-11,1805.0,1805.0,2024-11-30,Paid
PAY000160,T00031,U00040,P001,2024-12,1805.0,1805.0,2024-12-31,Paid
PAY000161,T00031,U00040,P001,2025-01,1805.0,1805.0,2025-01-29,Paid
PAY000162,T00031,U00040,P001,2025-02,1805.0,1805.0,2025-03-01,Paid
PAY000163,T00033,U00043,P001,2024-01,1433.0,1433.0,2024-01-06,Paid
PAY000164,T00033,U00043,P001,2024-01,1433.0,1433.0,2024-02-02,Paid
PAY000165,T00033,U00043,P001,2024-03,1433.0,1433.0,2024-03-04,Paid
PAY000166,T00033,U00043,P001,2024-03,1433.0,1433.0,2024-04-01,Paid
PAY000167,T00033,U00043,P001,2024-04,1433.0,1433.0,2024-05-04,Paid
PAY000168,T00033,U00043,P001,2024-05,1433.0,1433.0,2024-06-01,Paid
PAY000169,T00034,U00045,P001,2024-01,1804.0,1804.0,2024-01-03,Paid
PAY000170,T00034,U00045,P001,2024-01,1804.0,1804.0,2024-02-03,Paid
PAY000171,T00034,U00045,P001,2024-03,1804.0,1804.0,2024-03-04,Paid
PAY000172,T00034,U00045,P001,2024-03,1804.0,1804.0,2024-04-02,Paid
PAY000173,T00034,U00045,P001,2024-04,1804.0,1804.0,2024-05-03,Paid
PAY000174,T00034,U00045,P001,2024-05,1804.0,1804.0,2024-06-03,Paid
PAY000175,T00034,U00045,P001,2024-06,1804.0,1804.0,2024-07-03,Paid
PAY000176,T00034,U00045,P001,2024-07,1804.0,1804.0,2024-08-02,Paid
PAY000177,T00034,U00045,P001,2024-08,1804.0,1804.0,2024-08-29,Paid
PAY000178,T00034,U00045,P001,2024-09,1804.0,1804.0,2024-09-28,Paid
PAY000179,T00034,U00045,P001,2024-10,1804.0,1804.0,2024-10-28,Paid
PAY000180,T00039,U00050,P001,2024-01,1448.0,1448.0,2024-01-05,Paid
PAY000181,T00039,U00050,P001,2024-01,1448.0,1448.0,2024-02-01,Paid
PAY000182,T00039,U00050,P001,2024-03,1448.0,1448.0,2024-03-03,Paid
PAY000183,T00039,U00050,P001,2024-03,1448.0,1448.0,2024-04-04,Paid
PAY000184,T00039,U00050,P001,2024-04,1448.0,1448.0,2024-05-01,Paid
PAY000185,T00039,U00050,P001,2024-05,1448.0,1448.0,2024-06-03,Paid
PAY000186,T00039,U00050,P001,2024-06,1448.0,1448.0,2024-06-30,Paid
PAY000187,T00041,U00052,P001,2024-01,1662.0,1662.0,2024-01-04,Paid
PAY000188,T00041,U00052,P001,2024-01,1662.0,1662.0,2024-02-01,Paid
PAY000189,T00041,U00052,P001,2024-03,1662.0,1662.0,2024-03-05,Paid
PAY000190,T00041,U00052,P001,2024-03,1662.0,1662.0,2024-04-04,Paid
PAY000191,T00041,U00052,P001,2024-04,1662.0,1662.0,2024-05-05,Paid
PAY000192,T00041,U00052,P001,2024-05,1662.0,0.0,,Delinquent
PAY000193,T00041,U00052,P001,2024-06,1662.0,1662.0,2024-07-01,Paid
PAY000194,T00041,U00052,P001,2024-07,1662.0,0.0,,Delinquent
PAY000195,T00041,U00052,P001,2024-08,1662.0,1662.0,2024-09-01,Paid
PAY000196,T00041,U00052,P001,2024-09,1662.0,1662.0,2024-09-28,Paid
PAY000197,T00041,U00052,P001,2024-10,1662.0,1662.0,2024-10-30,Paid
PAY000198,T00042,U00054,P001,2024-01,1570.0,1329.0,2024-01-11,Partial
PAY000199,T00042,U00054,P001,2024-01,1570.0,1570.0,2024-02-05,Paid
PAY000200,T00042,U00054,P001,2024-03,1570.0,1570.0,2024-03-05,Paid
PAY000201,T00042,U00054,P001,2024-03,1570.0,1570.0,2024-04-04,Paid
PAY000202,T00042,U00054,P001,2024-04,1570.0,1570.0,2024-05-01,Paid
PAY000203,T00042,U00054,P001,2024-05,1570.0,1570.0,2024-06-03,Paid
PAY000204,T00042,U00054,P001,2024-06,1570.0,1570.0,2024-07-04,Paid
PAY000205,T00044,U00056,P001,2024-01,1546.0,1546.0,2024-01-04,Paid
PAY000206,T00044,U00056,P001,2024-01,1546.0,1546.0,2024-02-03,Paid
PAY000207,T00044,U00056,P001,2024-03,1546.0,1546.0,2024-03-02,Paid
PAY000208,T00044,U00056,P001,2024-03,1546.0,1546.0,2024-04-02,Paid
PAY000209,T00044,U00056,P001,2024-04,1546.0,1546.0,2024-05-04,Paid
PAY000210,T00044,U00056,P001,2024-05,1546.0,1546.0,2024-06-02,Paid
PAY000211,T00044,U00056,P001,2024-06,1546.0,1546.0,2024-06-30,Paid
PAY000212,T00044,U00056,P001,2024-07,1546.0,1546.0,2024-08-01,Paid
PAY000213,T00044,U00056,P001,2024-08,1546.0,1546.0,2024-09-02,Paid
PAY000214,T00045,U00057,P001,2024-01,1619.0,1619.0,2024-01-03,Paid
PAY000215,T00045,U00057,P001,2024-01,1619.0,1619.0,2024-02-05,Paid
PAY000216,T00045,U00057,P001,2024-03,1619.0,1619.0,2024-03-03,Paid
PAY000217,T00045,U00057,P001,2024-03,1619.0,1619.0,2024-04-04,Paid
PAY000218,T00045,U00057,P001,2024-04,1619.0,1619.0,2024-05-03,Paid
PAY000219,T00045,U00057,P001,2024-05,1619.0,0.0,,Delinquent
PAY000220,T00045,U00057,P001,2024-06,1619.0,1619.0,2024-07-01,Paid
PAY000221,T00045,U00057,P001,2024-07,1619.0,1619.0,2024-08-03,Paid
PAY000222,T00045,U00057,P001,2024-08,1619.0,1619.0,2024-08-29,Paid
PAY000223,T00045,U00057,P001,2024-09,1619.0,1619.0,2024-09-30,Paid
PAY000224,T00045,U00057,P001,2024-10,1619.0,1619.0,2024-11-01,Paid
PAY000225,T00045,U00057,P001,2024-11,1619.0,0.0,,Delinquent
PAY000226,T00045,U00057,P001,2024-12,1619.0,1619.0,2024-12-27,Paid
PAY000227,T00045,U00057,P001,2025-01,1619.0,1619.0,2025-01-26,Paid
PAY000228,T00045,U00057,P001,2025-02,1619.0,1619.0,2025-02-27,Paid
PAY000229,T00046,U00058,P001,2024-01,1596.0,1596.0,2024-01-02,Paid
PAY000230,T00046,U00058,P001,2024-01,1596.0,1596.0,2024-02-03,Paid
PAY000231,T00046,U00058,P001,2024-03,1596.0,1596.0,2024-03-02,Paid
PAY000232,T00046,U00058,P001,2024-03,1596.0,1596.0,2024-04-04,Paid
PAY000233,T00046,U00058,P001,2024-04,1596.0,1419.0,2024-05-15,Partial
PAY000234,T00046,U00058,P001,2024-05,1596.0,1596.0,2024-06-02,Paid
PAY000235,T00046,U00058,P001,2024-06,1596.0,1596.0,2024-07-04,Paid
PAY000236,T00046,U00058,P001,2024-07,1596.0,1596.0,2024-07-31,Paid
PAY000237,T00046,U00058,P001,2024-08,1596.0,1596.0,2024-08-29,Paid
PAY000238,T00046,U00058,P001,2024-09,1596.0,1596.0,2024-10-01,Paid
PAY000239,T00046,U00058,P001,2024-10,1596.0,1596.0,2024-10-31,Paid
PAY000240,T00047,U00059,P001,2024-03,1521.0,1521.0,2024-03-03,Paid
PAY000241,T00047,U00059,P001,2024-03,1521.0,1521.0,2024-04-01,Paid
PAY000242,T00047,U00059,P001,2024-04,1521.0,1521.0,2024-05-02,Paid
PAY000243,T00047,U00059,P001,2024-05,1521.0,1521.0,2024-06-02,Paid
PAY000244,T00047,U00059,P001,2024-06,1521.0,1521.0,2024-07-01,Paid
PAY000245,T00047,U00059,P001,2024-07,1521.0,1521.0,2024-08-02,Paid
PAY000246,T00047,U00059,P001,2024-08,1521.0,1521.0,2024-08-31,Paid
PAY000247,T00047,U00059,P001,2024-09,1521.0,1521.0,2024-10-02,Paid
PAY000248,T00047,U00059,P001,2024-10,1521.0,1521.0,2024-10-30,Paid
PAY000249,T00047,U00059,P001,2024-11,1521.0,1521.0,2024-11-28,Paid
PAY000250,T00047,U00059,P001,2024-12,1521.0,1521.0,2024-12-29,Paid
PAY000251,T00047,U00059,P001,2025-01,1521.0,1521.0,2025-01-30,Paid
PAY000252,T00047,U00059,P001,2025-02,1521.0,1521.0,2025-03-01,Paid
PAY000253,T00051,U00064,P001,2024-01,1721.0,1721.0,2024-01-06,Paid
PAY000254,T00051,U00064,P001,2024-01,1721.0,1721.0,2024-02-05,Paid
PAY000255,T00051,U00064,P001,2024-03,1721.0,1721.0,2024-03-05,Paid
PAY000256,T00051,U00064,P001,2024-03,1721.0,1721.0,2024-04-05,Paid
PAY000257,T00051,U00064,P001,2024-04,1721.0,1721.0,2024-05-03,Paid
PAY000258,T00051,U00064,P001,2024-05,1721.0,1721.0,2024-06-03,Paid
PAY000259,T00051,U00064,P001,2024-06,1721.0,1721.0,2024-07-03,Paid
PAY000260,T00051,U00064,P001,2024-07,1721.0,1721.0,2024-07-31,Paid
PAY000261,T00052,U00065,P001,2024-04,1535.0,1535.0,2024-05-03,Paid
PAY000262,T00052,U00065,P001,2024-05,1535.0,1535.0,2024-06-04,Paid
PAY000263,T00052,U00065,P001,2024-06,1535.0,1242.0,2024-07-13,Partial
PAY000264,T00052,U00065,P001,2024-07,1535.0,0.0,,Delinquent
PAY000265,T00052,U00065,P001,2024-08,1535.0,1535.0,2024-09-02,Paid
PAY000266,T00052,U00065,P001,2024-09,1535.0,1535.0,2024-09-30,Paid
PAY000267,T00052,U00065,P001,2024-10,1535.0,1535.0,2024-10-31,Paid
PAY000268,T00052,U00065,P001,2024-11,1535.0,1535.0,2024-11-27,Paid
PAY000269,T00052,U00065,P001,2024-12,1535.0,1535.0,2024-12-31,Paid
PAY000270,T00052,U00065,P001,2025-01,1535.0,1535.0,2025-01-28,Paid
PAY000271,T00052,U00065,P001,2025-02,1535.0,1535.0,2025-02-28,Paid
PAY000272,T00060,U00077,P001,2024-01,1838.0,0.0,,Delinquent
PAY000273,T00060,U00077,P001,2024-01,1838.0,1838.0,2024-02-03,Paid
PAY000274,T00060,U00077,P001,2024-03,1838.0,1838.0,2024-03-05,Paid
PAY000275,T00060,U00077,P001,2024-03,1838.0,0.0,,Delinquent
PAY000276,T00060,U00077,P001,2024-04,1838.0,1838.0,2024-05-05,Paid
PAY000277,T00060,U00077,P001,2024-05,1838.0,1838.0,2024-06-04,Paid
PAY000278,T00060,U00077,P001,2024-06,1838.0,1030.0,2024-07-11,Partial
PAY000279,T00060,U00077,P001,2024-07,1838.0,1838.0,2024-07-30,Paid
PAY000280,T00060,U00077,P001,2024-08,1838.0,1838.0,2024-08-30,Paid
PAY000281,T00060,U00077,P001,2024-09,1838.0,1838.0,2024-10-01,Paid
PAY000282,T00060,U00077,P001,2024-10,1838.0,1838.0,2024-10-30,Paid
PAY000283,T00060,U00077,P001,2024-11,1838.0,1838.0,2024-11-30,Paid
PAY000284,T00060,U00077,P001,2024-12,1838.0,1838.0,2024-12-29,Paid
PAY000285,T00060,U00077,P001,2025-01,1838.0,1838.0,2025-01-28,Paid
PAY000286,T00060,U00077,P001,2025-02,1838.0,1838.0,2025-02-27,Paid
PAY000287,T00061,U00078,P001,2024-01,1588.0,1588.0,2024-01-06,Paid
PAY000288,T00061,U00078,P001,2024-01,1588.0,1588.0,2024-02-04,Paid
PAY000289,T00061,U00078,P001,2024-03,1588.0,1588.0,2024-03-05,Paid
PAY000290,T00061,U00078,P001,2024-03,1588.0,1588.0,2024-04-04,Paid
PAY000291,T00061,U00078,P001,2024-04,1588.0,1588.0,2024-05-02,Paid
PAY000292,T00061,U00078,P001,2024-05,1588.0,1588.0,2024-05-31,Paid
PAY000293,T00061,U00078,P001,2024-06,1588.0,1588.0,2024-07-02,Paid
PAY000294,T00061,U00078,P001,2024-07,1588.0,1588.0,2024-07-31,Paid
PAY000295,T00063,U00080,P001,2024-01,1787.0,1787.0,2024-01-02,Paid
PAY000296,T00063,U00080,P001,2024-01,1787.0,1787.0,2024-02-04,Paid
PAY000297,T00063,U00080,P001,2024-03,1787.0,0.0,,Delinquent
PAY000298,T00063,U00080,P001,2024-03,1787.0,1787.0,2024-04-01,Paid
PAY000299,T00063,U00080,P001,2024-04,1787.0,1787.0,2024-05-02,Paid
PAY000300,T00063,U00080,P001,2024-05,1787.0,1787.0,2024-06-04,Paid
PAY000301,T00063,U00080,P001,2024-06,1787.0,0.0,,Delinquent
PAY000302,T00063,U00080,P001,2024-07,1787.0,1787.0,2024-08-02,Paid
PAY000303,T00064,U00081,P001,2024-03,1598.0,1053.0,2024-04-09,Partial
PAY000304,T00064,U00081,P001,2024-04,1598.0,1598.0,2024-05-04,Paid
PAY000305,T00064,U00081,P001,2024-05,1598.0,1598.0,2024-06-02,Paid
PAY000306,T00064,U00081,P001,2024-06,1598.0,1598.0,2024-07-04,Paid
PAY000307,T00064,U00081,P001,2024-07,1598.0,1598.0,2024-08-02,Paid
PAY000308,T00064,U00081,P001,2024-08,1598.0,1598.0,2024-08-30,Paid
PAY000309,T00064,U00081,P001,2024-09,1598.0,1598.0,2024-09-29,Paid
PAY000310,T00064,U00081,P001,2024-10,1598.0,1598.0,2024-10-29,Paid
PAY000311,T00064,U00081,P001,2024-11,1598.0,1598.0,2024-11-28,Paid
PAY000312,T00064,U00081,P001,2024-12,1598.0,1598.0,2024-12-29,Paid
PAY000313,T00064,U00081,P001,2025-01,1598.0,1598.0,2025-01-26,Paid
PAY000314,T00064,U00081,P001,2025-02,1598.0,1598.0,2025-02-28,Paid
PAY000315,T00067,U00086,P001,2024-05,1418.0,1418.0,2024-06-04,Paid
PAY000316,T00067,U00086,P001,2024-06,1418.0,1418.0,2024-07-01,Paid
PAY000317,T00067,U00086,P001,2024-07,1418.0,1418.0,2024-08-02,Paid
PAY000318,T00067,U00086,P001,2024-08,1418.0,1418.0,2024-08-29,Paid
PAY000319,T00067,U00086,P001,2024-09,1418.0,1418.0,2024-09-30,Paid
PAY000320,T00067,U00086,P001,2024-10,1418.0,1418.0,2024-10-29,Paid
PAY000321,T00067,U00086,P001,2024-11,1418.0,1418.0,2024-11-27,Paid
PAY000322,T00067,U00086,P001,2024-12,1418.0,1418.0,2024-12-27,Paid
PAY000323,T00067,U00086,P001,2025-01,1418.0,1418.0,2025-01-29,Paid
PAY000324,T00067,U00086,P001,2025-02,1418.0,1418.0,2025-02-28,Paid
PAY000325,T00069,U00089,P001,2024-01,1489.0,1489.0,2024-01-02,Paid
